pick_name,slug,format,date,value
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-09,5759
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-10,5763
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-11,5743
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-12,5700
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-13,5661
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-14,5674
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-15,5640
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-16,5653
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-17,5653
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-18,5603
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-19,5619
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-20,5642
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-21,5706
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-22,5681
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-23,5679
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-24,5642
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-25,5690
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-26,5676
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-27,5661
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-28,5682
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-29,5670
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-30,5657
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-31,5719
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-01,5704
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-02,5658
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-03,5703
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-04,5664
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-05,5637
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-06,5632
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-07,5637
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-08,5600
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-09,5634
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-10,5613
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-11,5575
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-12,5604
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-13,5618
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-14,5694
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-15,5699
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-16,5688
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-17,5713
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-18,5702
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-19,5754
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-20,5769
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-21,5798
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-22,5829
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-23,5824
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-24,5804
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-25,5826
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-26,5841
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-27,5831
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-28,5843
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-29,5863
2026 Early 1st,2026-early-1st-1527,1QB,2023-11-30,5852
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-01,5860
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-02,5848
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-03,5850
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-04,5842
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-05,5834
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-06,5809
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-07,5786
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-08,5797
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-09,5806
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-10,5815
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-11,5815
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-12,5846
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-13,5875
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-14,5850
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-15,5869
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-16,5873
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-17,5872
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-18,5883
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-19,5911
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-20,5899
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-21,5921
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-22,5926
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-23,5921
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-24,5924
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-25,5923
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-26,5927
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-27,5935
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-28,5950
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-29,5943
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-30,5934
2026 Early 1st,2026-early-1st-1527,1QB,2023-12-31,5932
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-01,5952
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-02,5949
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-03,5960
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-04,5943
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-05,5922
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-06,5921
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-07,5920
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-08,5876
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-09,5898
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-10,5936
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-11,5928
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-12,5928
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-13,5897
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-14,5926
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-15,5897
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-16,5876
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-17,5912
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-18,5880
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-19,5871
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-20,5827
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-21,5796
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-22,5810
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-23,5816
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-24,5818
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-25,5830
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-26,5836
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-27,5827
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-28,5838
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-29,5859
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-30,5848
2026 Early 1st,2026-early-1st-1527,1QB,2024-01-31,5851
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-01,5865
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-02,5857
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-03,5853
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-04,5836
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-05,5838
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-06,5844
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-07,5871
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-08,5885
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-09,5915
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-10,5901
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-11,5882
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-12,5880
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-13,5899
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-14,5913
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-15,5893
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-16,5887
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-17,5935
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-18,5950
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-19,5961
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-20,5990
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-21,6005
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-22,6035
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-23,6042
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-24,6011
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-25,6019
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-26,6016
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-27,6012
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-28,6018
2026 Early 1st,2026-early-1st-1527,1QB,2024-02-29,6024
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-01,6048
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-02,6042
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-03,6040
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-04,6034
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-05,6030
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-06,6018
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-07,5985
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-08,5998
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-09,5988
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-10,5969
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-11,5982
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-12,5976
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-13,5959
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-14,5962
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-15,5977
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-16,5970
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-17,5969
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-18,5933
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-19,5990
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-20,6019
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-21,6010
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-22,6012
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-23,6011
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-24,6000
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-25,5994
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-26,5997
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-27,6025
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-28,6000
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-29,6008
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-30,5994
2026 Early 1st,2026-early-1st-1527,1QB,2024-03-31,5978
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-01,6039
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-02,6015
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-03,6056
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-04,6093
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-05,6098
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-06,6115
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-07,6099
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-08,6116
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-09,6111
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-10,6093
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-11,6106
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-12,6087
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-13,6083
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-14,6087
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-15,6082
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-16,6049
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-17,6045
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-18,6055
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-19,6070
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-20,6050
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-21,6044
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-22,6041
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-23,6036
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-24,6008
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-25,6025
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-26,6038
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-27,6027
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-28,6037
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-29,6015
2026 Early 1st,2026-early-1st-1527,1QB,2024-04-30,6035
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-01,6001
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-02,5964
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-03,5963
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-04,5988
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-05,5990
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-06,5986
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-07,5967
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-08,5962
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-09,5952
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-10,5959
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-11,5969
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-12,5967
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-13,5984
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-14,6010
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-15,5976
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-16,5959
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-17,5974
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-18,5990
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-19,6008
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-20,6033
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-21,6028
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-22,6012
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-23,6016
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-24,5995
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-25,5982
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-26,5982
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-27,5994
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-28,6015
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-29,5999
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-30,6041
2026 Early 1st,2026-early-1st-1527,1QB,2024-05-31,6045
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-01,6080
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-02,6048
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-03,6079
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-04,6092
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-05,6074
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-06,6045
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-07,6013
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-08,6008
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-09,5981
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-10,6019
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-11,6027
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-12,5974
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-13,5996
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-14,5997
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-15,5985
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-16,5984
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-17,5971
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-18,5952
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-19,5939
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-20,5947
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-21,5967
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-22,5973
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-23,5953
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-24,5944
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-25,5995
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-26,5975
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-27,5965
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-28,5931
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-29,5994
2026 Early 1st,2026-early-1st-1527,1QB,2024-06-30,5999
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-01,5995
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-02,5964
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-03,5940
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-04,5941
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-05,5935
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-06,5933
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-07,5929
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-08,5939
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-09,5943
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-10,5978
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-11,5961
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-12,5944
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-13,5931
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-14,5941
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-15,5967
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-16,5975
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-17,5968
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-18,6000
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-19,6011
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-20,6036
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-21,6054
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-22,6087
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-23,6039
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-24,6020
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-25,6064
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-26,6043
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-27,6032
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-28,6076
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-29,6075
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-30,6073
2026 Early 1st,2026-early-1st-1527,1QB,2024-07-31,6086
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-01,6057
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-02,6035
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-03,6053
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-04,6033
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-05,6027
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-06,6029
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-07,5989
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-08,5952
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-09,5933
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-10,5924
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-11,5939
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-12,5930
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-13,6005
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-14,5983
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-15,5963
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-16,5998
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-17,5994
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-18,5989
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-19,5956
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-20,5982
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-21,5970
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-22,5943
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-23,5971
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-24,5985
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-25,5981
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-26,5921
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-27,5931
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-28,5934
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-29,5921
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-30,5904
2026 Early 1st,2026-early-1st-1527,1QB,2024-08-31,5932
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-01,5938
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-02,5961
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-03,5983
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-04,5960
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-05,5936
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-06,5968
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-07,5979
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-08,5999
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-09,5997
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-10,5975
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-11,6040
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-12,6008
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-13,6002
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-14,5997
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-15,6011
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-16,6005
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-17,6034
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-18,6087
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-19,6109
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-20,6173
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-21,6186
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-22,6170
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-23,6179
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-24,6141
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-25,6179
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-26,6295
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-27,6262
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-28,6269
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-29,6287
2026 Early 1st,2026-early-1st-1527,1QB,2024-09-30,6265
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-01,6301
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-02,6369
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-03,6330
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-04,6373
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-05,6402
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-06,6414
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-07,6443
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-08,6410
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-09,6372
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-10,6433
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-11,6432
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-12,6413
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-13,6439
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-14,6431
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-15,6438
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-16,6403
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-17,6413
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-18,6426
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-19,6408
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-20,6401
2026 Early 1st,2026-early-1st-1527,1QB,2024-10-21,6412
