trade_date,transaction_id,team_a,team_a_received,team_a_value_then,team_a_value_now,team_a_value_change,team_b,team_b_received,team_b_value_then,team_b_value_now,team_b_value_change,winner_at_trade,winner_current,margin_at_trade,margin_current,swing_winner,swing_margin
2025-04-28,1222706043209924608,donewton,Courtland Sutton | 2025 Round 2 | 2025 Round 3,1374,1757,383,thekylecasey,Tank Dell | 2025 Round 1,1940,1194,-746,thekylecasey,donewton,566,563,donewton,1129
2025-09-16,1273723036767371264,mgaeta23,David Montgomery | Michael Pittman | Isiah Pacheco | 2027 Round 2 | 2026 Round 1,5404,4843,-561,jwalters74,Tony Pollard | D'Andre Swift | Tee Higgins | Tyjae Spears | 2027 Round 3,5962,4436,-1526,jwalters74,mgaeta23,558,407,mgaeta23,965
2025-08-07,1259206111249039360,zachlearningtogolf,Mike Evans | David Njoku | Alvin Kamara | Christian Kirk | A.J. Dillon,3818,2580,-1238,mgaeta23,Calvin Ridley | Dallas Goedert | Tony Pollard | Noah Gray | Tyjae Spears | 2026 Round 4 | 2027 Round 2,2793,2445,-348,zachlearningtogolf,zachlearningtogolf,1025,135,zachlearningtogolf,890
2025-08-22,1264650342717472768,thekylecasey,TreVeyon Henderson,2897,1740,-1157,zachlearningtogolf,De'Von Achane,4443,4170,-273,zachlearningtogolf,zachlearningtogolf,1546,2430,zachlearningtogolf,884
2025-04-30,1223523595133657088,jwalters74,Trey Benson | 2026 Round 3,462,748,286,tylerpilgrim,Jerry Jeudy | 2025 Round 4,1472,943,-529,tylerpilgrim,tylerpilgrim,1010,195,tylerpilgrim,815
2025-05-01,1223771077000306688,jwalters74,DeMario Douglas,112,97,-15,tylerpilgrim,Quentin Johnston,232,1001,769,tylerpilgrim,tylerpilgrim,120,904,tylerpilgrim,784
2025-04-29,1223058419775193088,mgaeta23,Joe Mixon | Deebo Samuel | 2026 Round 1 | 2026 Round 1,6031,4577,-1454,zachlearningtogolf,Tony Pollard | Khalil Shakir | 2025 Round 1,5511,3287,-2224,mgaeta23,mgaeta23,520,1290,mgaeta23,770
2025-05-10,1227129044529582080,zachlearningtogolf,Javonte Williams,207,938,731,jwalters74,2026 Round 4 | $10 FAAB,24,30,6,zachlearningtogolf,zachlearningtogolf,183,908,zachlearningtogolf,725
2025-07-15,1251038903863881728,donewton,Phil Mafah | Javonte Williams,225,941,716,zachlearningtogolf,2026 Round 3 | 2026 Round 4,76,84,8,donewton,donewton,149,857,donewton,708
2025-09-30,1278916121231106048,gnewman4,Quentin Johnston,330,1001,671,tylerpilgrim,2027 Round 1,1232,1232,0,tylerpilgrim,tylerpilgrim,902,231,tylerpilgrim,671
2025-04-30,1223495018262581248,gnewman4,Tucker Kraft,1090,2175,1085,jwalters74,2025 Round 3,145,586,441,gnewman4,gnewman4,945,1589,gnewman4,644
2025-05-31,1234547168593858560,gnewman4,Josh Jacobs | 2027 Round 1,3844,4184,340,jwalters74,David Montgomery | 2026 Round 1 | 2026 Round 2,3973,3682,-291,jwalters74,gnewman4,129,502,gnewman4,631
2025-05-20,1230670926694076416,zachlearningtogolf,Keenan Allen | Jonnu Smith,740,364,-376,donewton,Brenton Strange | 2026 Round 4,117,337,220,zachlearningtogolf,zachlearningtogolf,623,27,zachlearningtogolf,596
2025-05-04,1224849692341309440,jwalters74,Stefon Diggs | Brian Robinson,1088,539,-549,wkerwin,Tyjae Spears | 2026 Round 4 | 2027 Round 2,391,432,41,jwalters74,jwalters74,697,107,jwalters74,590
2025-08-07,1259211370491023360,lndahayo,Rome Odunze | Brian Robinson | 2026 Round 1,5216,5630,414,cjsyregelas,Nico Collins | 2026 Round 2,5415,5259,-156,cjsyregelas,lndahayo,199,371,lndahayo,570
2025-04-30,1223423845638090752,lndahayo,2025 Round 4 | 2025 Round 2,325,915,590,donewton,2025 Round 2 | 2025 Round 3,307,393,86,lndahayo,lndahayo,18,522,lndahayo,504
2025-07-08,1248286928684462080,jwalters74,Isiah Pacheco,716,290,-426,wkerwin,2026 Round 2,303,332,29,jwalters74,wkerwin,413,42,wkerwin,455
2025-10-11,1282804334102343680,zachlearningtogolf,Trey Benson | Tee Higgins | 2026 Round 3 | 2026 Round 2 | 2026 Round 3,4845,3844,-1001,jwalters74,David Njoku | James Cook,5047,4445,-602,jwalters74,jwalters74,202,601,jwalters74,399
2025-08-08,1259713999834984449,lndahayo,Shedeur Sanders,306,3,-303,jwalters74,2026 Round 3,57,64,7,lndahayo,jwalters74,249,61,jwalters74,310
2025-04-29,1223003680916123648,jwalters74,Ladd McConkey | 2025 Round 1 | 2026 Round 3,7917,7490,-427,donewton,CeeDee Lamb | 2025 Round 2,9005,8876,-129,donewton,donewton,1088,1386,donewton,298
2025-10-22,1286819210667765760,tylerpilgrim,Travis Kelce | Justin Jefferson | Jordan Mason | 2027 Round 3,10238,9934,-304,thekylecasey,Jerry Jeudy | George Pickens | 2026 Round 1 | 2026 Round 2 | 2027 Round 1,14885,14325,-560,thekylecasey,thekylecasey,4647,4391,thekylecasey,256
2025-04-30,1223496024669028352,gnewman4,Tyler Allgeier | 2025 Round 4,160,195,35,tylerpilgrim,2025 Round 3,126,387,261,gnewman4,tylerpilgrim,34,192,tylerpilgrim,226
2025-10-21,1286504609589776384,mgaeta23,J.K. Dobbins | Tyjae Spears | 2027 Round 3,649,665,16,jwalters74,Michael Pittman | Isiah Pacheco | 2026 Round 4,1520,1325,-195,jwalters74,jwalters74,871,660,jwalters74,211
2025-09-23,1276246071017742336,donewton,Wan'Dale Robinson,215,425,210,jakeduf,2027 Round 2,330,330,0,jakeduf,donewton,115,95,donewton,210
2025-06-24,1243355152602103808,thekylecasey,Jack Bech | Jauan Jennings | 2026 Round 4,20,835,815,jwalters74,Tyreek Hill | 2026 Round 2,332,940,608,jwalters74,jwalters74,312,105,jwalters74,207
2025-08-07,1259296297278525440,thekylecasey,Will Howard,170,3,-167,zachlearningtogolf,2026 Round 3,56,64,8,thekylecasey,zachlearningtogolf,114,61,zachlearningtogolf,175
2025-05-07,1226043559040270336,jakeduf,Khalil Shakir,899,826,-73,donewton,2026 Round 2 | 2026 Round 4,278,352,74,jakeduf,jakeduf,621,474,jakeduf,147
2025-09-30,1278946311571251200,zachlearningtogolf,Trevor Etienne | 2026 Round 2,371,365,-6,lndahayo,Matthew Stafford | 2027 Round 4,953,861,-92,lndahayo,lndahayo,582,496,lndahayo,86
2025-05-01,1223657978725400576,jwalters74,2025 Round 4,31,123,92,jakeduf,2026 Round 3,57,64,7,jakeduf,jwalters74,26,59,jwalters74,85
2025-04-30,1223467807560183808,jakeduf,Adonai Mitchell | Tutu Atwell | 2025 Round 4,233,311,78,zachlearningtogolf,2025 Round 2 | 2025 Round 4,209,361,152,jakeduf,zachlearningtogolf,24,50,zachlearningtogolf,74
2025-09-29,1278590799092658176,jwalters74,Mike Evans | $19 FAAB,1049,893,-156,zachlearningtogolf,Matthew Stafford | 2026 Round 3,1003,910,-93,jwalters74,zachlearningtogolf,46,17,zachlearningtogolf,63
2025-10-22,1286931153982361600,zachlearningtogolf,Dont'e Thornton | 2026 Round 3,254,189,-65,jwalters74,Alvin Kamara,912,788,-124,jwalters74,jwalters74,658,599,jwalters74,59
2025-09-24,1276812030426251264,gnewman4,MarShawn Lloyd,4,38,34,lndahayo,Taysom Hill | Noah Fant,58,36,-22,lndahayo,gnewman4,54,2,gnewman4,56
2025-05-01,1223665024673783808,jakeduf,2025 Round 4 | 2026 Round 4,36,54,18,thekylecasey,2025 Round 4,28,90,62,jakeduf,thekylecasey,8,36,thekylecasey,44
2025-10-23,1287157631126876160,donewton,Pat Bryant | 2027 Round 4,165,180,15,tylerpilgrim,Kayshon Boutte,128,178,50,donewton,donewton,37,2,donewton,35
2025-05-01,1223711584585531392,mgaeta23,2026 Round 4 | $22 FAAB,39,42,3,lndahayo,2025 Round 4,18,52,34,mgaeta23,lndahayo,21,10,lndahayo,31
2025-10-10,1282507621953204224,wkerwin,Kyle Williams,163,189,26,lndahayo,2026 Round 3,69,64,-5,wkerwin,wkerwin,94,125,wkerwin,31
2025-05-01,1223664469255671808,cjsyregelas,Will Shipley | Justice Hill,78,47,-31,donewton,$5 FAAB,5,5,0,cjsyregelas,cjsyregelas,73,42,cjsyregelas,31
2025-10-07,1281334172710883328,donewton,Theo Johnson,87,113,26,tylerpilgrim,Brenton Strange,269,317,48,tylerpilgrim,tylerpilgrim,182,204,tylerpilgrim,22
2025-05-13,1228149347338698753,donewton,Brashard Smith | 2026 Round 3,85,162,77,lndahayo,2026 Round 2,272,332,60,lndahayo,lndahayo,187,170,lndahayo,17
2025-05-05,1225135748596899840,zachlearningtogolf,Tyjae Spears,195,229,34,wkerwin,2026 Round 3 | 2027 Round 4,74,93,19,zachlearningtogolf,zachlearningtogolf,121,136,zachlearningtogolf,15
2025-09-29,1278609411799027712,lndahayo,Keenan Allen | 2026 Round 3,287,296,9,zachlearningtogolf,2027 Round 4 | 2026 Round 2,351,347,-4,zachlearningtogolf,zachlearningtogolf,64,51,zachlearningtogolf,13
2025-09-30,1278942529986764800,lndahayo,D'Andre Swift,734,721,-13,jwalters74,Brian Robinson | 2026 Round 3,199,173,-26,lndahayo,lndahayo,535,548,lndahayo,13
2025-09-16,1273767222258454528,mgaeta23,Kareem Hunt,18,30,12,donewton,2026 Round 4,19,20,1,donewton,mgaeta23,1,10,mgaeta23,11
2025-05-05,1225160597755142144,zachlearningtogolf,Will Howard | 2026 Round 2,358,335,-23,gnewman4,Geno Smith | 2027 Round 3,1013,980,-33,gnewman4,gnewman4,655,645,gnewman4,10
2025-07-15,1251046974694637568,mgaeta23,Marquise Brown,185,184,-1,donewton,2026 Round 3,58,64,6,mgaeta23,mgaeta23,127,120,mgaeta23,7
2025-05-01,1223663647079792640,mgaeta23,Zach Wilson,3,0,-3,donewton,$1 FAAB,1,1,0,mgaeta23,donewton,2,1,donewton,3
2025-09-25,1277109098646605824,gnewman4,Marcus Mariota,0,0,0,zachlearningtogolf,$20 FAAB,20,20,0,zachlearningtogolf,zachlearningtogolf,20,20,Tie,0
2025-09-26,1277318767591825408,zachlearningtogolf,$2 FAAB,2,2,0,gnewman4,,0,0,0,zachlearningtogolf,zachlearningtogolf,2,2,Tie,0
2025-10-07,1281385171571974144,tylerpilgrim,$11 FAAB,11,11,0,donewton,,0,0,0,tylerpilgrim,tylerpilgrim,11,11,Tie,0
2025-05-19,1230259367983456256,cjsyregelas,2026 Round 4,15,20,5,donewton,2026 Round 4,15,20,5,donewton,donewton,0,0,Tie,0
