year,round,tier,date,value
2024,3,Late,2024-10-18,50
2024,3,Mid,2024-10-18,79
2024,4,Early,2024-10-18,33
2024,4,Late,2024-10-18,18
2024,4,Mid,2024-10-18,23
2024,5,Early,2024-10-18,14
2024,5,Late,2024-10-18,8
2024,5,Mid,2024-10-18,10
2025,1,Early,2024-10-18,5248
2025,1,Late,2024-10-18,1234
2025,1,Mid,2024-10-18,2515
2025,2,Early,2024-10-18,633
2025,2,Late,2024-10-18,189
2025,2,Mid,2024-10-18,338
2025,3,Early,2024-10-18,110
2025,3,Late,2024-10-18,42
2025,3,Mid,2024-10-18,67
2025,4,Early,2024-10-18,28
2025,4,Late,2024-10-18,15
2025,4,Mid,2024-10-18,20
2024,1,Early,2024-10-25,6554
2024,1,Late,2024-10-25,1484
2024,1,Mid,2024-10-25,3101
2024,2,Early,2024-10-25,744
2024,2,Late,2024-10-25,213
2024,2,Mid,2024-10-25,389
2024,3,Early,2024-10-25,122
2024,3,Late,2024-10-25,45
2024,3,Mid,2024-10-25,72
2024,4,Early,2024-10-25,30
2024,4,Late,2024-10-25,16
2024,4,Mid,2024-10-25,20
2024,5,Early,2024-10-25,12
2024,5,Late,2024-10-25,8
2024,5,Mid,2024-10-25,10
2025,1,Early,2024-10-25,5473
2025,1,Late,2024-10-25,1237
2025,1,Mid,2024-10-25,2578
2025,2,Early,2024-10-25,621
2025,2,Late,2024-10-25,179
2025,2,Mid,2024-10-25,326
2025,3,Early,2024-10-25,102
2025,3,Late,2024-10-25,38
2025,3,Mid,2024-10-25,61
2025,4,Early,2024-10-25,25
2025,4,Late,2024-10-25,13
2025,4,Mid,2024-10-25,18
2024,1,Early,2024-11-01,6657
2024,1,Late,2024-11-01,1455
2024,1,Mid,2024-11-01,3101
2024,2,Early,2024-11-01,717
2024,2,Late,2024-11-01,201
2024,2,Mid,2024-11-01,370
2024,3,Early,2024-11-01,114
2024,3,Late,2024-11-01,42
2024,3,Mid,2024-11-01,67
2024,4,Early,2024-11-01,28
2024,4,Late,2024-11-01,14
2024,4,Mid,2024-11-01,20
2024,5,Early,2024-11-01,11
2024,5,Late,2024-11-01,7
2024,5,Mid,2024-11-01,8
2025,1,Early,2024-11-01,5886
2025,1,Late,2024-11-01,1283
2025,1,Mid,2024-11-01,2726
2025,2,Early,2024-11-01,634
2025,2,Late,2024-11-01,178
2025,2,Mid,2024-11-01,328
2025,3,Early,2024-11-01,101
2025,3,Late,2024-11-01,37
2025,3,Mid,2024-11-01,60
2025,4,Early,2024-11-01,25
2025,4,Late,2024-11-01,13
2025,4,Mid,2024-11-01,17
2024,1,Early,2024-11-08,6688
2024,1,Late,2024-11-08,1465
2024,1,Mid,2024-11-08,3120
2024,2,Early,2024-11-08,722
2024,2,Late,2024-11-08,202
2024,2,Mid,2024-11-08,373
2024,3,Early,2024-11-08,115
2024,3,Late,2024-11-08,42
2024,3,Mid,2024-11-08,68
2024,4,Early,2024-11-08,28
2024,4,Late,2024-11-08,14
2024,4,Mid,2024-11-08,20
2024,5,Early,2024-11-08,11
2024,5,Late,2024-11-08,7
2024,5,Mid,2024-11-08,9
2025,1,Early,2024-11-08,5915
2025,1,Late,2024-11-08,1291
2025,1,Mid,2024-11-08,2742
2025,2,Early,2024-11-08,638
2025,2,Late,2024-11-08,179
2025,2,Mid,2024-11-08,331
2025,3,Early,2024-11-08,102
2025,3,Late,2024-11-08,38
2025,3,Mid,2024-11-08,60
2025,4,Early,2024-11-08,25
2025,4,Late,2024-11-08,13
2025,4,Mid,2024-11-08,18
2024,1,Early,2024-11-15,6498
2024,1,Late,2024-11-15,1509
2024,1,Mid,2024-11-15,3116
2024,2,Early,2024-11-15,762
2024,2,Late,2024-11-15,221
2024,2,Mid,2024-11-15,402
2024,3,Early,2024-11-15,126
2024,3,Late,2024-11-15,47
2024,3,Mid,2024-11-15,75
2024,4,Early,2024-11-15,30
2024,4,Late,2024-11-15,16
2024,4,Mid,2024-11-15,21
2024,5,Early,2024-11-15,12
2024,5,Late,2024-11-15,7
2024,5,Mid,2024-11-15,9
2025,1,Early,2024-11-15,5749
2025,1,Late,2024-11-15,1332
2025,1,Mid,2024-11-15,2744
2025,2,Early,2024-11-15,675
2025,2,Late,2024-11-15,196
2025,2,Mid,2024-11-15,356
2025,3,Early,2024-11-15,112
2025,3,Late,2024-11-15,42
2025,3,Mid,2024-11-15,67
2025,4,Early,2024-11-15,27
2025,4,Late,2024-11-15,14
2025,4,Mid,2024-11-15,19
2024,1,Early,2024-11-22,6447
2024,1,Late,2024-11-22,1477
2024,1,Mid,2024-11-22,3066
2024,2,Early,2024-11-22,745
2024,2,Late,2024-11-22,216
2024,2,Mid,2024-11-22,393
2024,3,Early,2024-11-22,124
2024,3,Late,2024-11-22,47
2024,3,Mid,2024-11-22,75
2024,4,Early,2024-11-22,32
2024,4,Late,2024-11-22,16
2024,4,Mid,2024-11-22,22
2024,5,Early,2024-11-22,12
2024,5,Late,2024-11-22,8
2024,5,Mid,2024-11-22,10
2025,1,Early,2024-11-22,5701
2025,1,Late,2024-11-22,1304
2025,1,Mid,2024-11-22,2700
2025,2,Early,2024-11-22,659
2025,2,Late,2024-11-22,192
2025,2,Mid,2024-11-22,348
2025,3,Early,2024-11-22,111
2025,3,Late,2024-11-22,42
2025,3,Mid,2024-11-22,67
2025,4,Early,2024-11-22,28
2025,4,Late,2024-11-22,15
2025,4,Mid,2024-11-22,20
2024,1,Early,2024-11-29,6261
2024,1,Late,2024-11-29,1500
2024,1,Mid,2024-11-29,3035
2024,2,Early,2024-11-29,774
2024,2,Late,2024-11-29,235
2024,2,Mid,2024-11-29,418
2024,3,Early,2024-11-29,138
2024,3,Late,2024-11-29,54
2024,3,Mid,2024-11-29,84
2024,4,Early,2024-11-29,36
2024,4,Late,2024-11-29,19
2024,4,Mid,2024-11-29,25
2024,5,Early,2024-11-29,14
2024,5,Late,2024-11-29,9
2024,5,Mid,2024-11-29,12
2025,1,Early,2024-11-29,5535
2025,1,Late,2024-11-29,1326
2025,1,Mid,2024-11-29,2676
2025,2,Early,2024-11-29,686
2025,2,Late,2024-11-29,209
2025,2,Mid,2024-11-29,371
2025,3,Early,2024-11-29,123
2025,3,Late,2024-11-29,48
2025,3,Mid,2024-11-29,75
2025,4,Early,2024-11-29,32
2025,4,Late,2024-11-29,17
2025,4,Mid,2024-11-29,23
2024,1,Early,2024-12-06,6602
2024,1,Late,2024-12-06,1508
2024,1,Mid,2024-12-06,3144
2024,2,Early,2024-12-06,756
2024,2,Late,2024-12-06,217
2024,2,Mid,2024-12-06,396
2024,3,Early,2024-12-06,124
2024,3,Late,2024-12-06,46
2024,3,Mid,2024-12-06,74
2024,4,Early,2024-12-06,30
2024,4,Late,2024-12-06,16
2024,4,Mid,2024-12-06,22
2024,5,Early,2024-12-06,12
2024,5,Late,2024-12-06,8
2024,5,Mid,2024-12-06,10
2025,1,Early,2024-12-06,6166
2025,1,Late,2024-12-06,1404
2025,1,Mid,2024-12-06,2921
2025,2,Early,2024-12-06,706
2025,2,Late,2024-12-06,203
2025,2,Mid,2024-12-06,371
2025,3,Early,2024-12-06,116
2025,3,Late,2024-12-06,44
2025,3,Mid,2024-12-06,69
2025,4,Early,2024-12-06,29
2025,4,Late,2024-12-06,15
2025,4,Mid,2024-12-06,20
2024,1,Early,2024-12-13,6489
2024,1,Late,2024-12-13,1541
2024,1,Mid,2024-12-13,3142
2024,2,Early,2024-12-13,788
2024,2,Late,2024-12-13,234
2024,2,Mid,2024-12-13,420
2024,3,Early,2024-12-13,135
2024,3,Late,2024-12-13,52
2024,3,Mid,2024-12-13,82
2024,4,Early,2024-12-13,35
2024,4,Late,2024-12-13,18
2024,4,Mid,2024-12-13,24
2024,5,Early,2024-12-13,14
2024,5,Late,2024-12-13,8
2024,5,Mid,2024-12-13,11
2025,1,Early,2024-12-13,6060
2025,1,Late,2024-12-13,1437
2025,1,Mid,2024-12-13,2924
2025,2,Early,2024-12-13,737
2025,2,Late,2024-12-13,219
2025,2,Mid,2024-12-13,393
2025,3,Early,2024-12-13,127
2025,3,Late,2024-12-13,49
2025,3,Mid,2024-12-13,77
2025,4,Early,2024-12-13,33
2025,4,Late,2024-12-13,17
2025,4,Mid,2024-12-13,23
2024,1,Early,2024-12-20,6714
2024,1,Late,2024-12-20,1506
2024,1,Mid,2024-12-20,3172
2024,2,Early,2024-12-20,749
2024,2,Late,2024-12-20,212
2024,2,Mid,2024-12-20,389
2024,3,Early,2024-12-20,120
2024,3,Late,2024-12-20,44
2024,3,Mid,2024-12-20,71
2024,4,Early,2024-12-20,29
2024,4,Late,2024-12-20,14
2024,4,Mid,2024-12-20,20
2024,5,Early,2024-12-20,11
2024,5,Late,2024-12-20,7
2024,5,Mid,2024-12-20,9
2025,1,Early,2024-12-20,6270
2025,1,Late,2024-12-20,1403
2025,1,Mid,2024-12-20,2945
2025,2,Early,2024-12-20,699
2025,2,Late,2024-12-20,198
2025,2,Mid,2024-12-20,364
2025,3,Early,2024-12-20,112
2025,3,Late,2024-12-20,41
2025,3,Mid,2024-12-20,66
2025,4,Early,2024-12-20,27
2025,4,Late,2024-12-20,14
2025,4,Mid,2024-12-20,19
2024,1,Early,2024-12-27,6743
2024,1,Late,2024-12-27,1520
2024,1,Mid,2024-12-27,3192
2024,2,Early,2024-12-27,758
2024,2,Late,2024-12-27,215
2024,2,Mid,2024-12-27,395
2024,3,Early,2024-12-27,122
2024,3,Late,2024-12-27,45
2024,3,Mid,2024-12-27,72
2024,4,Early,2024-12-27,30
2024,4,Late,2024-12-27,16
2024,4,Mid,2024-12-27,20
2024,5,Early,2024-12-27,12
2024,5,Late,2024-12-27,7
2024,5,Mid,2024-12-27,9
2025,1,Early,2024-12-27,6298
2025,1,Late,2024-12-27,1416
2025,1,Mid,2024-12-27,2965
2025,2,Early,2024-12-27,708
2025,2,Late,2024-12-27,202
2025,2,Mid,2024-12-27,370
2025,3,Early,2024-12-27,115
2025,3,Late,2024-12-27,42
2025,3,Mid,2024-12-27,68
2025,4,Early,2024-12-27,28
2025,4,Late,2024-12-27,14
2025,4,Mid,2024-12-27,19
2025,1,Early,2025-01-03,6858
2025,1,Late,2025-01-03,1518
2025,1,Mid,2025-01-03,3224
2025,2,Early,2025-01-03,750
2025,2,Late,2025-01-03,210
2025,2,Mid,2025-01-03,388
2025,3,Early,2025-01-03,118
2025,3,Late,2025-01-03,44
2025,3,Mid,2025-01-03,70
2025,4,Early,2025-01-03,28
2025,4,Late,2025-01-03,14
2025,4,Mid,2025-01-03,20
2025,5,Early,2025-01-03,11
2025,5,Late,2025-01-03,7
2025,5,Mid,2025-01-03,8
2026,1,Early,2025-01-03,5396
2026,1,Late,2025-01-03,1190
2026,1,Mid,2025-01-03,2520
2026,2,Early,2025-01-03,589
2026,2,Late,2025-01-03,165
2026,2,Mid,2025-01-03,305
2026,3,Early,2025-01-03,94
2026,3,Late,2025-01-03,34
2026,3,Mid,2025-01-03,55
2026,4,Early,2025-01-03,23
2026,4,Late,2025-01-03,11
2026,4,Mid,2025-01-03,16
2025,1,Early,2025-01-10,6770
2025,1,Late,2025-01-10,1536
2025,1,Mid,2025-01-10,3219
2025,2,Early,2025-01-10,768
2025,2,Late,2025-01-10,219
2025,2,Mid,2025-01-10,401
2025,3,Early,2025-01-10,124
2025,3,Late,2025-01-10,46
2025,3,Mid,2025-01-10,74
2025,4,Early,2025-01-10,30
2025,4,Late,2025-01-10,16
2025,4,Mid,2025-01-10,21
2025,5,Early,2025-01-10,12
2025,5,Late,2025-01-10,8
2025,5,Mid,2025-01-10,10
2026,1,Early,2025-01-10,5327
2026,1,Late,2025-01-10,1205
2026,1,Mid,2025-01-10,2518
2026,2,Early,2025-01-10,603
2026,2,Late,2025-01-10,173
2026,2,Mid,2025-01-10,316
2026,3,Early,2025-01-10,98
2026,3,Late,2025-01-10,37
2026,3,Mid,2025-01-10,58
2026,4,Early,2025-01-10,24
2026,4,Late,2025-01-10,12
2026,4,Mid,2025-01-10,17
2025,1,Early,2025-01-17,6644
2025,1,Late,2025-01-17,1540
2025,1,Mid,2025-01-17,3187
2025,2,Early,2025-01-17,778
2025,2,Late,2025-01-17,226
2025,2,Mid,2025-01-17,410
2025,3,Early,2025-01-17,130
2025,3,Late,2025-01-17,48
2025,3,Mid,2025-01-17,77
2025,4,Early,2025-01-17,32
2025,4,Late,2025-01-17,16
2025,4,Mid,2025-01-17,22
2025,5,Early,2025-01-17,12
2025,5,Late,2025-01-17,8
2025,5,Mid,2025-01-17,10
2026,1,Early,2025-01-17,5227
2026,1,Late,2025-01-17,1208
2026,1,Mid,2025-01-17,2495
2026,2,Early,2025-01-17,612
2026,2,Late,2025-01-17,178
2026,2,Mid,2025-01-17,323
2026,3,Early,2025-01-17,102
2026,3,Late,2025-01-17,38
2026,3,Mid,2025-01-17,61
2026,4,Early,2025-01-17,25
2026,4,Late,2025-01-17,13
2026,4,Mid,2025-01-17,18
2025,1,Early,2025-01-24,6709
2025,1,Late,2025-01-24,1522
2025,1,Mid,2025-01-24,3186
2025,2,Early,2025-01-24,762
2025,2,Late,2025-01-24,218
2025,2,Mid,2025-01-24,399
2025,3,Early,2025-01-24,125
2025,3,Late,2025-01-24,46
2025,3,Mid,2025-01-24,74
2025,4,Early,2025-01-24,30
2025,4,Late,2025-01-24,16
2025,4,Mid,2025-01-24,21
2025,5,Early,2025-01-24,12
2025,5,Late,2025-01-24,8
2025,5,Mid,2025-01-24,10
2026,1,Early,2025-01-24,5277
2026,1,Late,2025-01-24,1194
2026,1,Mid,2025-01-24,2492
2026,2,Early,2025-01-24,599
2026,2,Late,2025-01-24,172
2026,2,Mid,2025-01-24,314
2026,3,Early,2025-01-24,99
2026,3,Late,2025-01-24,37
2026,3,Mid,2025-01-24,59
2026,4,Early,2025-01-24,24
2026,4,Late,2025-01-24,12
2026,4,Mid,2025-01-24,17
2025,1,Early,2025-01-31,6513
2025,1,Late,2025-01-31,1448
2025,1,Mid,2025-01-31,3054
2025,2,Early,2025-01-31,720
2025,2,Late,2025-01-31,205
2025,2,Mid,2025-01-31,376
2025,3,Early,2025-01-31,117
2025,3,Late,2025-01-31,44
2025,3,Mid,2025-01-31,70
2025,4,Early,2025-01-31,30
2025,4,Late,2025-01-31,16
2025,4,Mid,2025-01-31,21
2025,5,Early,2025-01-31,12
2025,5,Late,2025-01-31,8
2025,5,Mid,2025-01-31,10
2026,1,Early,2025-01-31,5118
2026,1,Late,2025-01-31,1135
2026,1,Mid,2025-01-31,2388
2026,2,Early,2025-01-31,566
2026,2,Late,2025-01-31,162
2026,2,Mid,2025-01-31,296
2026,3,Early,2025-01-31,93
2026,3,Late,2025-01-31,35
2026,3,Mid,2025-01-31,55
2026,4,Early,2025-01-31,23
2026,4,Late,2025-01-31,13
2026,4,Mid,2025-01-31,17
2025,1,Early,2025-02-07,4360
2025,1,Late,2025-02-07,2856
2025,1,Mid,2025-02-07,3513
2025,2,Early,2025-02-07,2342
2025,2,Late,2025-02-07,1612
2025,2,Mid,2025-02-07,1934
2025,3,Early,2025-02-07,1367
2025,3,Late,2025-02-07,1017
2025,3,Mid,2025-02-07,1176
2025,4,Early,2025-02-07,878
2025,4,Late,2025-02-07,679
2025,4,Mid,2025-02-07,769
2025,5,Early,2025-02-07,604
2025,5,Late,2025-02-07,483
2025,5,Mid,2025-02-07,539
2026,1,Early,2025-02-07,3481
2026,1,Late,2025-02-07,2281
2026,1,Mid,2025-02-07,2806
2026,2,Early,2025-02-07,1871
2026,2,Late,2025-02-07,1288
2026,2,Mid,2025-02-07,1545
2026,3,Early,2025-02-07,1093
2026,3,Late,2025-02-07,813
2026,3,Mid,2025-02-07,941
2026,4,Early,2025-02-07,702
2026,4,Late,2025-02-07,543
2026,4,Mid,2025-02-07,615
2025,1,Early,2025-02-14,4259
2025,1,Late,2025-02-14,2778
2025,1,Mid,2025-02-14,3422
2025,2,Early,2025-02-14,2280
2025,2,Late,2025-02-14,1581
2025,2,Mid,2025-02-14,1892
2025,3,Early,2025-02-14,1349
2025,3,Late,2025-02-14,1015
2025,3,Mid,2025-02-14,1169
2025,4,Early,2025-02-14,876
2025,4,Late,2025-02-14,673
2025,4,Mid,2025-02-14,764
2025,5,Early,2025-02-14,598
2025,5,Late,2025-02-14,476
2025,5,Mid,2025-02-14,533
2026,1,Early,2025-02-14,3400
2026,1,Late,2025-02-14,2219
2026,1,Mid,2025-02-14,2732
2026,2,Early,2025-02-14,1822
2026,2,Late,2025-02-14,1264
2026,2,Mid,2025-02-14,1511
2026,3,Early,2025-02-14,1079
2026,3,Late,2025-02-14,812
2026,3,Mid,2025-02-14,934
2026,4,Early,2025-02-14,700
2026,4,Late,2025-02-14,538
2026,4,Mid,2025-02-14,611
2025,1,Early,2025-02-21,4146
2025,1,Late,2025-02-21,2718
2025,1,Mid,2025-02-21,3339
2025,2,Early,2025-02-21,2235
2025,2,Late,2025-02-21,1557
2025,2,Mid,2025-02-21,1858
2025,3,Early,2025-02-21,1322
2025,3,Late,2025-02-21,1005
2025,3,Mid,2025-02-21,1152
2025,4,Early,2025-02-21,873
2025,4,Late,2025-02-21,673
2025,4,Mid,2025-02-21,764
2025,5,Early,2025-02-21,597
2025,5,Late,2025-02-21,474
2025,5,Mid,2025-02-21,531
2026,1,Early,2025-02-21,3310
2026,1,Late,2025-02-21,2171
2026,1,Mid,2025-02-21,2667
2026,2,Early,2025-02-21,1786
2026,2,Late,2025-02-21,1244
2026,2,Mid,2025-02-21,1484
2026,3,Early,2025-02-21,1057
2026,3,Late,2025-02-21,804
2026,3,Mid,2025-02-21,921
2026,4,Early,2025-02-21,698
2026,4,Late,2025-02-21,538
2026,4,Mid,2025-02-21,611
2025,1,Early,2025-02-28,4150
2025,1,Late,2025-02-28,2727
2025,1,Mid,2025-02-28,3347
2025,2,Early,2025-02-28,2245
2025,2,Late,2025-02-28,1564
2025,2,Mid,2025-02-28,1867
2025,3,Early,2025-02-28,1327
2025,3,Late,2025-02-28,1004
2025,3,Mid,2025-02-28,1153
2025,4,Early,2025-02-28,870
2025,4,Late,2025-02-28,671
2025,4,Mid,2025-02-28,761
2025,5,Early,2025-02-28,597
2025,5,Late,2025-02-28,476
2025,5,Mid,2025-02-28,532
2026,1,Early,2025-02-28,3314
2026,1,Late,2025-02-28,2178
2026,1,Mid,2025-02-28,2673
2026,2,Early,2025-02-28,1793
2026,2,Late,2025-02-28,1250
2026,2,Mid,2025-02-28,1492
2026,3,Early,2025-02-28,1061
2026,3,Late,2025-02-28,802
2026,3,Mid,2025-02-28,922
2026,4,Early,2025-02-28,695
2026,4,Late,2025-02-28,537
2026,4,Mid,2025-02-28,608
2025,1,Early,2025-03-07,6928
2025,1,Late,2025-03-07,1584
2025,1,Mid,2025-03-07,3309
2025,2,Early,2025-03-07,794
2025,2,Late,2025-03-07,228
2025,2,Mid,2025-03-07,416
2025,3,Early,2025-03-07,130
2025,3,Late,2025-03-07,49
2025,3,Mid,2025-03-07,78
2025,4,Early,2025-03-07,33
